State  (L1 Districts of Nepal),Post Codes,City (L2 Muncipalities of Nepal),Address (L3 Area/Landmark),Delivery service,Routing Hub2,COD,Service Level Ex KTM,Service Remarks,Addtional Cost Ex KTM per KG
Sarlahi,45804,Hariwan,Chapaini,,,,,,
Sarlahi,45804,Hariwan,Dabari,,,,,,
Sarlahi,45804,Hariwan,Dharahara,,,,,,
Sarlahi,45804,Hariwan,Ganeshchowk,,,,,,
Sarlahi,45804,Hariwan,Ghurkauli,,,,,,
Sarlahi,45804,Hariwan,Kamaiya,,,,,,
Sarlahi,45804,Hariwan,Milanchowk,,,,,,
Sarlahi,45804,Hariwan,Nayaroad,,,,,,
Sarlahi,45804,Hariwan,Purano Bazar,,,,,,
Sarlahi,45804,Hariwan,Putalichowk,,,,,,
Sarlahi,45804,Hariwan,Sukepokhari,,,,,,
Sindhuli,45900,Kamalamai,2 No Bazar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Army Camp Gate,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Bardeutar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Buddhanagar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Buspark. 1 No Bazar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Campus Stop Area,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Dhungrebaas,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Dhungrebas,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Dhura Bazaar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Fm Marga,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Karagar Area,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Laxman Chowk,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Madhutar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Majhitar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Milan Chowk,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Milanchowk,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Panitanki,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Rammadi,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Ratmata,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Sangbale,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Siddha Baba Chowk,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Sindhuli Bus Park Area,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Sindhuli Haat Bazaar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Sivanagar,YES,Sindhuli,Yes,,,
Sindhuli,45900,Kamalamai,Thulitar,YES,Sindhuli,Yes,,,
Sindhupalchok,45300,Chautara SangachokGadhi,Chautara,YES,Kathmandu,YES,,Third party,300
Sindhupalchok,45303,Barhabise,,NO,,,,,
Sindhupalchok,45309,Melamchi,,NO,,,,,
Siraha,56502,Lahan,Bastipur Kataha,,,,,,
Siraha,56502,Lahan,Chhaparadi,,,,,,
Siraha,56502,Lahan,Dhangadi,,,,,,
Siraha,56502,Lahan,Dudigau,,,,,,
Siraha,56502,Lahan,Gadiya,,,,,,
Siraha,56502,Lahan,Gramij,,,,,,
Siraha,56502,Lahan,Harapahi,,,,,,
Siraha,56502,Lahan,Kadamaha,,,,,,
Siraha,56502,Lahan,Karairawini,,,,,,
Siraha,56502,Lahan,Kusha,YES,Lahan,,,,
Siraha,56502,Lahan,Madeswari,,,,,,
Siraha,56502,Lahan,Mirimail,,,,,,
Siraha,56509,Golbazar,Chauharba,,,,,,
Siraha,56509,Golbazar,Dhangadi,,,,,,
Siraha,56509,Golbazar,Kasaha,,,,,,
Siraha,56509,Golbazar,Zero Mile,YES,Lahan,,,,
Siraha,56513,Mirchaiya,,YES,Lahan,,,,
Solukhumbu,56000,Solududhakunda,Aaba Danda,,,,,,
Solukhumbu,56000,Solududhakunda,Dorpu,,,,,,
Solukhumbu,56000,Solududhakunda,Garma,,,,,,
Solukhumbu,56000,Solududhakunda,Nayabazar,,,,,,
Solukhumbu,56000,Solududhakunda,Phaplu,,,,,,
Solukhumbu,56000,Solududhakunda,Zeropoint,YES,Salleri,,,,
Sunsari,56700,Dharan,Bargachi,,,,,,
Sunsari,56700,Dharan,Bhanuchowk,YES,Itahari,,,,
Sunsari,56700,Dharan,Bhotepul,,,,,,
Sunsari,56700,Dharan,Budha Chowk,,,,,,
Sunsari,56700,Dharan,Budhasubba,,,,,,
Sunsari,56700,Dharan,sind,,,,,,
Sunsari,56700,Dharan,Chhata Chowk,,,,,,
Sunsari,56700,Dharan,Devigaau,,,,,,
Sunsari,56700,Dharan,Dhakute Road,,,,,,
Sunsari,56700,Dharan,Fokletafu,,,,,,
Sunsari,56700,Dharan,Fusre,,,,,,
Sunsari,56700,Dharan,Ganeshman Chowk,,,,,,
Sunsari,56700,Dharan,Ghopa Camp,,,,,,
Sunsari,56700,Dharan,Hariyali,,,,,,
Sunsari,56700,Dharan,Jorsakhuwa,,,,,,
Sunsari,56700,Dharan,Kalyan Chowk,,,,,,
Sunsari,56700,Dharan,Kalyanchowk,,,,,,
Sunsari,56700,Dharan,Katheypul,,,,,,
Sunsari,56700,Dharan,Mangalbare,,,,,,
Sunsari,56700,Dharan,Narayanchowk,,,,,,
Sunsari,56700,Dharan,Narayanchowk,,,,,,
Sunsari,56700,Dharan,Osho Khola,,,,,,
Sunsari,56700,Dharan,Paanmara,,,,,,
Sunsari,56700,Dharan,Panmara Bus Station,,,,,,
Sunsari,56700,Dharan,Pashupati Chowk,,,,,,
Sunsari,56700,Dharan,Putaline,,,,,,
Sunsari,56700,Dharan,Radha Krishna Mandir,,,,,,
Sunsari,56700,Dharan,Railway,,,,,,
Sunsari,56700,Dharan,Sadan Road,,,,,,
Sunsari,56700,Dharan,Sainik Bhawan,,,,,,
Sunsari,56700,Dharan,Tinkune,,,,,,
Sunsari,56700,Dharan,Zeropoint,,,,,,
Sunsari,56705,Itahari,Aapgachhi,,,,,,
Sunsari,56705,Itahari,Baklauri,,,,,,
Sunsari,56705,Itahari,Balgram Chowk,,,,,,
Sunsari,56705,Itahari,Baliya,,,,,,
Sunsari,56705,Itahari,Bansbari,,,,,,
Sunsari,56705,Itahari,Bargachhi,,,,,,
Sunsari,56705,Itahari,Baukajoda,,,,,,
Sunsari,56705,Itahari,Gachiya,,,,,,
Sunsari,56705,Itahari,Jhumka Bazar,,,,,,
Sunsari,56705,Itahari,Jhumka City Area,YES,Itahari,Yes,2,,
Sunsari,56705,Itahari,Kanchi Chowk,,,,,,
Sunsari,56705,Itahari,Khanar,YES,Itahari,Yes,2,,
Sunsari,56705,Itahari,Labipur,,,,,,
Sunsari,56705,Itahari,Labipur Area,YES,Itahari,Yes,2,,
Sunsari,56705,Itahari,Naya Tol,,,,,,
Sunsari,56705,Itahari,Pachruki,,,,,,
Sunsari,56705,Itahari,Padariya Area,YES,Itahari,Yes,2,,
Sunsari,56705,Itahari,Pakali,,,,,,
Sunsari,56705,Itahari,Pakali Area,YES,Itahari,Yes,2,,
Sunsari,56705,Itahari,Santhijhoda,,,,,,
Sunsari,56705,Itahari,Sonapur,,,,,,
Sunsari,56705,Itahari,Tarahara,,,,,,
Sunsari,56705,Itahari,Tax Office Area,YES,Itahari,Yes,2,,
Sunsari,56707,Duhabi,Buddha Chowk,YES,Biratnagar,YES,,,
Sunsari,56707,Duhabi,Dangawa Chowk,YES,Biratnagar,YES,,,
Sunsari,56707,Duhabi,Gadam Gachhi,YES,Biratnagar,YES,,,
Sunsari,56707,Duhabi,Nimwachowk,YES,Biratnagar,YES,,,
Sunsari,56707,Duhabi,Sonapur,YES,Biratnagar,YES,,,
Sunsari,56710,Inaruwa,Aakaha Chowk,,,,,,
Sunsari,56710,Inaruwa,Babiya,,,,,,
Sunsari,56710,Inaruwa,Bhokraha Chowk,,,,,,
Sunsari,56710,Inaruwa,Bihibare hat bazar,YES,Itahari,Yes,2,,
Sunsari,56710,Inaruwa,Fulchowk,,,,,,
Sunsari,56710,Inaruwa,Ghopali Chowk,,,,,,
Sunsari,56710,Inaruwa,Halasi Chowk,,,,,,
Sunsari,56710,Inaruwa,Inaruwa Bus stop area,YES,Itahari,Yes,2,,
Sunsari,56710,Inaruwa,Inaruwa Hospital Area,YES,Itahari,Yes,2,,
Sunsari,56710,Inaruwa,Jamuwa,,,,,,
Sunsari,56710,Inaruwa,Laguna Mood,,,,,,
Sunsari,56710,Inaruwa,Laukahi,,,,,,
Sunsari,56710,Inaruwa,Mahendra Chowk,,,,,,
Sunsari,56710,Inaruwa,Model Chowk,,,,,,
Sunsari,56710,Inaruwa,Sakhuwagachhi,YES,Itahari,Yes,2,,
Sunsari,56710,Inaruwa,Sakhuwagachhi,,,,,,
Sunsari,56710,Inaruwa,Simpane Pragati Tole,YES,Itahari,Yes,2,,
Sunsari,56710,Inaruwa,Titriban,,,,,,
Surkhet,21700,Birendranagar,Airpot-Chowk,,,,,,
Surkhet,21700,Birendranagar,Arichowk,,,,,,
Surkhet,21700,Birendranagar,Bangeysimal,YES,Surkhet,Yes,2,,
Surkhet,21700,Birendranagar,Bhureli,,,,,,
Surkhet,21700,Birendranagar,Briendra-Chowk,,,,,,
Surkhet,21700,Birendranagar,Buspark,,,,,,
Surkhet,21700,Birendranagar,Chisapani,,,,,,
Surkhet,21700,Birendranagar,Deutithan,,,,,,
Surkhet,21700,Birendranagar,Dhulafit,,,,,,
Surkhet,21700,Birendranagar,Epira,,,,,,
Surkhet,21700,Birendranagar,Falatye,,,,,,
Surkhet,21700,Birendranagar,Fish-Cottage,,,,,,
Surkhet,21700,Birendranagar,Gaurigaau,,,,,,
Surkhet,21700,Birendranagar,Hatiya,,,,,,
Surkhet,21700,Birendranagar,Ithrum. Khajura,,,,,,
Surkhet,21700,Birendranagar,Jhureli,,,,,,
Surkhet,21700,Birendranagar,Kalagaau,,,,,,
Surkhet,21700,Birendranagar,Kapase,,,,,,
Surkhet,21700,Birendranagar,Latikoeli,,,,,,
Surkhet,21700,Birendranagar,Mangalgadhi,,,,,,
Surkhet,21700,Birendranagar,Mulpani Chowk,,,,,,
Surkhet,21700,Birendranagar,Newarye,,,,,,
Surkhet,21700,Birendranagar,Padampur,,,,,,
Surkhet,21700,Birendranagar,Pritana,,,,,,
Surkhet,21700,Birendranagar,Radio Nepal Area,YES,Surkhet,Yes,2,,
Surkhet,21700,Birendranagar,Radionepal,,,,,,
Surkhet,21700,Birendranagar,Sahidgate,,,,,,
Surkhet,21700,Birendranagar,Shivmandir,,,,,,
Surkhet,21700,Birendranagar,Surkhet Hospital Area,YES,Surkhet,Yes,2,,
Surkhet,21700,Birendranagar,Tempopark,,,,,,
Surkhet,21700,Birendranagar,Uttarganga Area,YES,Surkhet,Yes,2,,
Surkhet,21700,Birendranagar,Vairabsthan,,,,,,
Surkhet,21700,Birendranagar,Zerodaam,,,,,,
Surkhet,21702,Gurbhakot,,YES,Surkhet,,,,
Surkhet,21705,Bheriganga,,YES,Surkhet,,,,
Syangja,33800,Waling,Bagalthok Bazar,,,,,,
Syangja,33800,Waling,Bakrey Bazar Chowk,,,,,,
Syangja,33800,Waling,Bayerghari,,,,,,
Syangja,33800,Waling,Bhakunde Chowk,YES,Walling,Yes,3,,
Syangja,33800,Waling,Bhakunde Covered Hall Area,YES,Walling,Yes,3,,
Syangja,33800,Waling,Bhakundey,,,,,,
Syangja,33800,Waling,Bhumre,,,,,,
Syangja,33800,Waling,Bp Chowk,,,,,,
Syangja,33800,Waling,Buddha Tole,YES,Walling,Yes,3,,
Syangja,33800,Waling,Changchhangdi,,,,,,
Syangja,33800,Waling,Helu,,,,,,
Syangja,33800,Waling,Mirdi,,,,,,
Syangja,33800,Waling,Pathekhola,,,,,,
Syangja,33800,Waling,Rambachha,,,,,,
Syangja,33800,Waling,Shiva Oil Area,YES,Walling,Yes,3,,
Syangja,33800,Waling,Tallo Waling,,,,,,
Syangja,33800,Waling,Waling Bus Park Area,YES,Walling,Yes,3,,
Syangja,33800,Waling,Waling Multiple Campus Area,YES,Walling,Yes,3,,
Syangja,33800,Waling,WCCI Chowk,YES,Walling,Yes,3,,
Syangja,33802,Putalibazar,Badkhola,,,,,,
Syangja,33802,Putalibazar,Barja,,,,,,
Syangja,33802,Putalibazar,District Hospital,,,,,,
Syangja,33802,Putalibazar,Ghotghote,,,,,,
Syangja,33802,Putalibazar,Ghumti,,,,,,
Syangja,33802,Putalibazar,Karendada,YES,Walling,,,,
Syangja,33802,Putalibazar,Nagdada Bazar,,,,,,
Syangja,33802,Putalibazar,Pargatinagar,,,,,,
Syangja,33802,Putalibazar,Rangkhola Bazar,,,,,,
Syangja,33802,Putalibazar,Sumrekhola,,,,,,
Syangja,33802,Putalibazar,Taxi Chowk,,,,,,
Syangja,33802,Putalibazar,Traffic Chowk,,,,,,
Syangja,33811,Galyang,,YES,Walling,,,,
Tanahu,33900,Byas,Aadikavi Bhanubhakta Campus Area,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Akala,,Damauli,,,,
Tanahu,33900,Byas,Amreni,,Damauli,,,,
Tanahu,33900,Byas,Bagvangyang,,Damauli,,,,
Tanahu,33900,Byas,Baireni,,Damauli,,,,
Tanahu,33900,Byas,Belbas,,Damauli,,,,
Tanahu,33900,Byas,Bhadgau,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Bhatgaau,,Damauli,,,,
Tanahu,33900,Byas,Chapaghat,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Charkune,,Damauli,,,,
Tanahu,33900,Byas,Chhabdi,,Damauli,,,,
Tanahu,33900,Byas,Chirkan,,Damauli,,,,
Tanahu,33900,Byas,Damauli Bazar,YES,Damauli,Yes,1,,
Tanahu,33900,Byas,Damauli Bazar,,Damauli,,,,
Tanahu,33900,Byas,Damauli Bus Station Area,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Damauli College,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Darai Gau,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Dhaire,,Damauli,,,,
Tanahu,33900,Byas,Dharai Padhera Area,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Dig Gaun,,Damauli,,,,
Tanahu,33900,Byas,Dihi Gaun,YES,Damauli,Yes,,,
Tanahu,33900,Byas,District Hospital Area,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Galbesi,,Damauli,,,,
Tanahu,33900,Byas,Ghasikuwa,,Damauli,,,,
Tanahu,33900,Byas,High Schooltar,,Damauli,,,,
Tanahu,33900,Byas,Immanuel Church Area,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Jamunney,,Damauli,,,,
Tanahu,33900,Byas,Kalesti,,Damauli,,,,
Tanahu,33900,Byas,Komaltari,,Damauli,,,,
Tanahu,33900,Byas,Lichighari,,Damauli,,,,
Tanahu,33900,Byas,Mathilo Gudadi,,Damauli,,,,
Tanahu,33900,Byas,Mauri Bazar,,Damauli,,,,
Tanahu,33900,Byas,Pasaley,,Damauli,,,,
Tanahu,33900,Byas,Patan,YES,Damauli,Yes,,,
Tanahu,33900,Byas,Patan,,Damauli,,,,
Tanahu,33900,Byas,Serataar,,Damauli,,,,
Tanahu,33900,Byas,Simaltar,,Damauli,,,,
Tanahu,33900,Byas,Taalghare,,Damauli,,,,
Tanahu,33900,Byas,Tharpu,,Damauli,,,,
Tanahu,33900,Byas,Vorletar Chowk,,Damauli,Yes,,,
Tanahu,33901,Anbukhaireni,Anbukhaireni Bazar,YES,Anbukhaireni,Yes,1,,
Tanahu,33902,Bandipur,Bandipur,YES,Dumre,,,,
Tanahu,33903,Bhanu,Dumre Bazar,YES,Dumre,,,1 day in a week,
Tanahu,33908,Bhimad,Battar,,Bhimad,,,,
Tanahu,33908,Bhimad,Bhimad Bazaar,YES,Bhimad,Yes,,,
Tanahu,33908,Bhimad,Bhimad Bazar,,Bhimad,,,,
Tanahu,33908,Bhimad,Campus Road,,Bhimad,,,,
Tanahu,33908,Bhimad,Chhangpatan,,Bhimad,,,,
Tanahu,33908,Bhimad,Gilang,,Bhimad,,,,
Tanahu,33908,Bhimad,Khaireni,,Bhimad,,,,
Tanahu,33908,Bhimad,Lalyin Bazar,,Bhimad,,,,
Tanahu,33908,Bhimad,Male Bagar Bazaar,YES,Bhimad,Yes,,,
Tanahu,33908,Bhimad,Malebagar,,Bhimad,,,,
Tanahu,33908,Bhimad,Misurlung,,Bhimad,,,,
Tanahu,33908,Bhimad,Pipal Dada,YES,Bhimad,Yes,,,
Tanahu,33908,Bhimad,Purano Bazaar,YES,Bhimad,Yes,,,
Tanahu,33908,Bhimad,Raangrung,,Bhimad,,,,
Tanahu,33908,Bhimad,Rishinpatan,,Bhimad,,,,
Tanahu,33908,Bhimad,Sisneri,,Bhimad,,,,
Tanahu,33908,Bhimad,Tanahu Technical School Area,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Belchautara,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Dhor Phedi Area,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Dulegaunda Bazaar,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Khairenitar Bazar,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Nayapul,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Saulibazzar,YES,Bhimad,Yes,,,
Tanahu,33909,Shuklagandaki,Surya Nepal Factory Area,YES,Bhimad,Yes,,,
Taplejung,57500,Phungling,,YES,Birtamod,,,,
Terhathum,57100,Myanglung,,YES,Itahari,,,,
Udayapur,56300,Triyuga,,YES,Lahan,,,,
